#IC86events[1/year]	sigpSI[pb]	sigpSD[pb]	sig*v[cm^3/s]	mdm[GeV]	DM[Fermion|Scalar]
1.0659e-15 1.2385e-14 3.6972e-11 6.8927e-33 2.3138e+02 F
8.9859e-01 2.0432e-09 7.3656e-06 9.1581e-27 8.1432e+02 F
7.5513e+00 2.1361e-08 7.4620e-05 2.0621e-26 7.4949e+02 F
2.5703e+02 1.4296e-08 2.9682e-03 1.8888e-27 8.8822e+01 F
9.6454e+00 2.4448e-08 2.1513e-05 1.7694e-26 4.5325e+02 F
3.9201e+01 1.1969e-08 2.3476e-03 4.2371e-28 7.6241e+01 F
2.7869e+02 1.9820e-08 8.4840e-04 9.7796e-27 1.6618e+02 F
7.3497e+01 1.4194e-08 6.0343e-04 1.0559e-26 9.0778e+01 F
2.7199e-04 2.4942e-11 0.0000e+00 6.4127e-26 1.7516e+03 S
8.7123e-19 2.2204e-16 4.7775e-12 6.0134e-34 1.9383e+02 F
9.2730e-10 2.7022e-14 5.8310e-11 8.1236e-27 1.1280e+03 F
4.3352e-12 1.4304e-15 5.0446e-12 7.6449e-27 1.1630e+03 F
3.7959e+01 6.4407e-09 2.1649e-03 3.9047e-28 7.8594e+01 F
8.2867e-05 1.5216e-11 0.0000e+00 5.5381e-26 1.8894e+03 S
5.0814e-10 2.0638e-14 0.0000e+00 9.0242e-26 1.4613e+03 S
2.7255e-05 1.0057e-11 0.0000e+00 4.7259e-26 2.0421e+03 S
9.5195e+01 1.5111e-08 3.4430e-03 6.9108e-28 8.5369e+01 F
5.0661e-23 2.2684e-16 4.2851e-14 1.0935e-35 4.1487e+02 F
1.9329e-04 2.4518e-11 0.0000e+00 5.5360e-26 1.9016e+03 S
2.4167e+02 2.5240e-08 7.8112e-04 4.7927e-27 1.5154e+02 F
1.8842e-04 2.3704e-11 0.0000e+00 5.5414e-26 1.8875e+03 S
9.0248e-13 1.4214e-11 8.1207e-10 2.7787e-34 1.6774e+02 F
4.2491e-01 6.9167e-10 6.7095e-07 1.0118e-26 1.7067e+02 F
8.0933e-12 3.9502e-15 3.5788e-12 7.9573e-27 1.1399e+03 F
3.9544e+01 4.6957e-08 2.1734e-04 1.9761e-28 1.0706e+02 F
4.4809e-02 2.6188e-10 7.8712e-07 7.9516e-27 1.1781e+03 F
4.2294e-01 6.3349e-09 2.4353e-02 4.7022e-27 1.1706e+01 F
5.0672e-04 1.9494e-12 2.6592e-06 8.1570e-31 1.3352e+02 F
2.5583e-04 3.3136e-11 0.0000e+00 4.8232e-26 2.0536e+03 S
5.8003e-08 3.9984e-13 0.0000e+00 5.2009e-26 1.9300e+03 S
3.4118e-04 2.0967e-11 1.3940e-08 1.1050e-26 9.6243e+02 F
8.7374e-16 2.5420e-17 7.1987e-14 7.1352e-27 1.2043e+03 F
1.4241e+01 3.3288e-09 7.8575e-04 1.4165e-28 8.0267e+01 F
1.7658e-08 2.1268e-13 0.0000e+00 5.3701e-26 1.8975e+03 S
1.2165e-11 6.3444e-15 0.0000e+00 4.7756e-26 2.0131e+03 S
1.6557e+01 6.3700e-09 1.0770e-04 2.2723e-26 2.5656e+02 F
2.1300e+02 1.8804e-08 2.2420e-03 3.9174e-27 8.6933e+01 F
6.9711e-03 1.7564e-10 5.9882e-09 9.7968e-27 1.0164e+03 F
8.0990e-03 8.7185e-11 1.8181e-07 9.4488e-27 1.0729e+03 F
5.7601e+00 3.2449e-10 2.1110e-05 8.3842e-27 2.2665e+02 F
1.3654e-14 8.4971e-17 2.0120e-13 9.2750e-27 1.0551e+03 F
8.3310e-09 3.6454e-14 2.4875e-10 7.8937e-27 1.1445e+03 F
5.9140e-05 1.3913e-11 5.6094e-09 7.8773e-27 1.1448e+03 F
3.2208e-13 7.4067e-16 8.7671e-13 7.5972e-27 1.1668e+03 F
4.8050e+01 1.1928e-08 2.7496e-03 4.9594e-28 7.8399e+01 F
6.9462e+01 2.4771e-08 2.0618e-04 4.1506e-27 1.5102e+02 F
1.7999e-06 2.4294e-12 5.7246e-10 8.5182e-27 1.1008e+03 F
4.8161e-26 2.1923e-17 4.2764e-15 1.0788e-36 3.9438e+02 F
3.5869e-04 3.8365e-11 0.0000e+00 5.0387e-26 2.0130e+03 S
6.9518e-08 4.4594e-13 0.0000e+00 5.1090e-26 1.9457e+03 S
3.4134e+02 4.5006e-09 2.1351e-03 1.4231e-27 1.1232e+02 F
8.3195e-12 2.1787e-15 4.6750e-12 9.4681e-27 1.0441e+03 F
3.7956e-13 1.1018e-15 9.3452e-14 9.4244e-27 1.0466e+03 F
5.3374e-15 2.4606e-17 2.0587e-13 7.8892e-27 1.1448e+03 F
2.4460e-06 1.1210e-12 2.7586e-09 9.2096e-27 1.0578e+03 F
